,valores em euros,valores preditos
9306,0.14,0.24543369
14649,0.03,0.24543369
8431,0.17,0.24763715
8672,0.16,0.24759129
16345,0.01,0.24543369
16711,0.01,0.24543369
6531,0.26,0.2665233
4562,0.42,0.33803067
10584,0.1,0.24543369
10213,0.11,0.24893785
16571,0.01,0.24543369
14518,0.03,0.24543369
12006,0.07,0.24543369
13947,0.04,0.24543369
13946,0.04,0.24543369
9869,0.12,0.24543369
6435,0.26,0.24763715
13816,0.04,0.24543369
16427,0.01,0.24543369
1509,1.3,1.134111
1133,1.62,1.4654882
15664,0.02,0.24543369
16541,0.01,0.2556759
10303,0.11,0.24543369
6948,0.23,0.25478923
12475,0.06,0.24543369
13148,0.05,0.24543369
10478,0.1,0.24543369
4412,0.44,0.34799415
2520,0.82,0.57467884
7104,0.23,0.24763715
12433,0.06,0.25086206
4401,0.44,0.3487075
3203,0.63,0.41330436
12101,0.07,0.24543369
14468,0.03,0.24543369
16006,0.02,0.24543369
8733,0.15,0.2562014
6314,0.27,0.31063837
6423,0.26,0.29444396
8931,0.15,0.24600944
11630,0.08,0.24608004
4491,0.43,0.3931839
2696,0.76,0.7009323
16156,0.01,0.2556759
3283,0.61,0.38500306
5235,0.36,0.289513
2023,1.02,0.83212006
5901,0.3,0.33958343
4671,0.41,0.32812542
720,2.24,1.8086658
103,7.2,5.9525766
11433,0.08,0.25153485
14334,0.03,0.24543369
10950,0.09,0.24543369
1030,1.73,1.4014769
11203,0.09,0.24543369
7258,0.22,0.24654084
245,4.46,3.6116662
9074,0.14,0.25714982
5648,0.32,0.35906923
13859,0.04,0.24543369
714,2.25,2.0411038
13572,0.04,0.2614041
1040,1.72,1.3661425
3197,0.63,0.55672294
7263,0.22,0.24543369
7897,0.19,0.24543369
16024,0.02,0.24543369
9338,0.13,0.24543369
12888,0.05,0.24543369
2902,0.7,0.55849683
6792,0.24,0.25904417
7804,0.19,0.24763715
16317,0.01,0.24543369
11481,0.08,0.24543369
9757,0.12,0.24543369
16294,0.01,0.24543369
12060,0.07,0.24921903
7500,0.2,0.24763715
12131,0.07,0.24543369
15890,0.02,0.24543369
5347,0.34,0.25904417
15316,0.02,0.24543369
5081,0.37,0.40147337
12184,0.07,0.24543369
8340,0.17,0.25616795
7370,0.21,0.24763715
16197,0.01,0.24543369
15573,0.02,0.24543369
4326,0.45,0.33809516
13405,0.05,0.24543369
11878,0.07,0.24543369
11817,0.07,0.24543369
8484,0.16,0.24543369
2405,0.87,0.7499706
13870,0.04,0.2470156
13472,0.05,0.24763715
6154,0.28,0.26712877
2674,0.76,0.38915136
11706,0.08,0.24696094
14703,0.03,0.24543369
13315,0.05,0.24543369
13786,0.04,0.24543369
5691,0.32,0.26333502
4885,0.39,0.30162692
1268,1.49,1.1978071
10189,0.11,0.24543369
1490,1.32,1.0856161
9456,0.13,0.24600944
2025,1.02,0.99358034
10657,0.1,0.24543369
8749,0.15,0.24543369
12559,0.06,0.24763715
2734,0.75,0.683029
16324,0.01,0.24543369
8853,0.15,0.2549668
9864,0.12,0.24600944
10734,0.1,0.24543369
406,3.32,1.2164719
10487,0.1,0.24543369
12845,0.06,0.24763715
561,2.69,2.1626146
1804,1.13,0.6265935
275,4.2,3.2226536
4843,0.4,0.3328458
4464,0.44,0.35479116
7513,0.2,0.24600944
12858,0.06,0.24543369
2207,0.94,0.97283244
5389,0.34,0.34499303
4588,0.42,0.35276663
11909,0.07,0.24543369
9976,0.12,0.24543369
2277,0.91,0.74661183
12090,0.07,0.24543369
1097,1.66,1.3309715
10145,0.11,0.24543369
13330,0.05,0.24665582
2323,0.89,0.722136
8249,0.17,0.24543369
4393,0.44,0.5368235
16716,0.01,0.24543369
1016,1.75,1.5174044
5230,0.36,0.2995441
5188,0.36,0.25824806
4081,0.48,0.40846315
6593,0.25,0.24543369
11345,0.08,0.26341072
8217,0.17,0.24543369
9014,0.14,0.24543369
3680,0.54,0.56625116
2242,0.92,0.91681635
13056,0.05,0.24543369
6445,0.26,0.2507917
13790,0.04,0.27360338
318,3.85,2.4981112
4656,0.41,0.39046204
7018,0.23,0.24827757
808,2.08,1.9400307
6192,0.28,0.31165892
8606,0.16,0.24543369
7150,0.22,0.24906296
2992,0.68,0.73613995
12940,0.05,0.24543369
8753,0.15,0.25187042
1422,1.36,1.1710117
10914,0.09,0.24543369
14383,0.03,0.24543369
1739,1.17,0.79231215
15125,0.02,0.24543369
10848,0.09,0.24543369
9122,0.14,0.24763715
13698,0.04,0.24543369
1942,1.06,0.6229456
10358,0.11,0.24543369
16411,0.01,0.24543369
14009,0.04,0.24543369
5256,0.35,0.2654683
16464,0.01,0.24543369
3449,0.58,0.49798316
4028,0.49,0.50125444
1101,1.66,1.4084187
4275,0.45,0.33052087
10447,0.1,0.24543369
14081,0.04,0.24763715
14317,0.03,0.24543369
2800,0.73,0.5620906
5985,0.29,0.3344164
16575,0.01,0.24543369
12922,0.05,0.24543369
4831,0.4,0.35819638
9936,0.12,0.24543369
15747,0.02,0.2628035
7005,0.23,0.24933892
10162,0.11,0.25675374
9882,0.12,0.24543369
1508,1.3,1.196846
14777,0.03,0.24759129
1248,1.51,1.3069133
89,7.81,6.839296
13499,0.04,0.24543369
4543,0.43,0.34741598
7930,0.19,0.24543369
7788,0.19,0.24543369
215,4.87,1.509044
2246,0.92,0.5516633
9435,0.13,0.24543369
3412,0.59,0.5003338
16550,0.01,0.2470156
754,2.18,1.7050287
14062,0.04,0.2960875
10272,0.11,0.24543369
13243,0.05,0.24543369
8050,0.18,0.27432603
16077,0.02,0.24543369
8914,0.15,0.24543369
7581,0.2,0.26356333
10782,0.1,0.24543369
1022,1.74,1.471667
2567,0.8,0.56368864
3273,0.61,0.58316886
3255,0.62,0.35714322
13153,0.05,0.24763715
5550,0.32,0.29784393
13491,0.04,0.24763715
7998,0.18,0.24862778
3186,0.63,0.58220065
8128,0.18,0.24543369
10068,0.11,0.24978173
12097,0.07,0.2470156
10155,0.11,0.24543369
1036,1.72,1.5785345
1669,1.21,1.0869772
15715,0.02,0.24543369
6284,0.27,0.2507917
9741,0.12,0.24763715
16596,0.01,0.24543369
2482,0.83,0.7035316
10506,0.1,0.24763715
339,3.7,2.2745552
2777,0.74,0.8208302
15092,0.02,0.24543369
3069,0.66,0.57482713
16130,0.01,0.26465356
15443,0.02,0.24543369
4783,0.4,0.37050286
15287,0.02,0.24543369
15656,0.02,0.24543369
9291,0.14,0.24543369
2654,0.77,0.63390976
3003,0.67,0.60943455
16407,0.01,0.24543369
4046,0.49,0.4851756
10723,0.1,0.24666831
1227,1.53,1.4272417
6836,0.24,0.2593552
9854,0.12,0.24543369
10661,0.1,0.24763715
13695,0.04,0.24543369
3553,0.56,0.55615413
10665,0.1,0.24543369
8795,0.15,0.24696094
3271,0.61,0.51751184
8844,0.15,0.24543369
14138,0.04,0.24543369
2550,0.81,0.60362566
13468,0.05,0.24543369
2157,0.95,0.78015006
6925,0.24,0.27205956
5731,0.31,0.2789717
15365,0.02,0.24543369
15518,0.02,0.24543369
14225,0.03,0.24543369
726,2.23,1.8062782
3351,0.6,0.48528236
13268,0.05,0.24543369
2582,0.79,0.4750189
2967,0.68,0.53901327
8390,0.17,0.24763715
2997,0.67,0.606584
5087,0.37,0.3426817
3746,0.53,0.3166446
16349,0.01,0.24543369
15212,0.02,0.24543369
14571,0.03,0.24543369
10635,0.1,0.24763715
14205,0.03,0.24763715
53,10.81,8.660195
5590,0.32,0.29283008
9968,0.12,0.24763715
15629,0.02,0.24543369
15070,0.02,0.24543369
190,5.16,4.2053895
10831,0.09,0.24543369
4571,0.42,0.34899783
6155,0.28,0.29351825
4237,0.46,0.42793125
7764,0.19,0.2471166
13376,0.05,0.24543369
1226,1.53,1.3235668
5285,0.35,0.36779416
11931,0.07,0.24543369
10954,0.09,0.24543369
9815,0.12,0.28188795
3882,0.51,0.40777722
10787,0.1,0.24543369
5675,0.32,0.24696094
997,1.76,0.837897
9133,0.14,0.24543369
12182,0.07,0.24543369
7991,0.18,0.24920353
2741,0.75,0.6349108
3528,0.57,0.38352555
4538,0.43,0.40461504
1498,1.31,1.1448536
13169,0.05,0.24543369
12790,0.06,0.24543369
15352,0.02,0.24543369
2340,0.89,0.67389226
16495,0.01,0.24543369
8961,0.15,0.24543369
1089,1.67,1.3738534
11309,0.08,0.24543369
7074,0.23,0.25824806
16660,0.01,0.24543369
3398,0.59,0.54127324
13212,0.05,0.24763715
7017,0.23,0.25824806
8429,0.17,0.24543369
12588,0.06,0.24543369
10672,0.1,0.24543369
12878,0.05,0.24543369
10566,0.1,0.24543369
15762,0.02,0.24543369
6508,0.26,0.2602954
7359,0.21,0.27483147
16195,0.01,0.24543369
10316,0.11,0.26444614
2643,0.77,0.5821794
14692,0.03,0.24543369
12292,0.06,0.24543369
278,4.18,3.4993773
2933,0.7,0.54696864
10643,0.1,0.24543369
11832,0.07,0.24543369
9275,0.14,0.24543369
13486,0.05,0.24543369
4020,0.49,0.48655736
11052,0.09,0.25112674
7388,0.21,0.32851186
8410,0.17,0.24543369
13919,0.04,0.24543369
15011,0.02,0.24543369
9611,0.13,0.24543369
12202,0.07,0.24543369
16651,0.01,0.24543369
16581,0.01,0.24543369
16269,0.01,0.24543369
1536,1.28,1.1827762
14591,0.03,0.24763715
7825,0.19,0.2647493
3378,0.59,0.5337289
4452,0.44,0.4074232
2988,0.68,0.5578787
1780,1.14,1.077774
2096,0.98,0.87143946
10840,0.09,0.24543369
8362,0.17,0.24696094
9130,0.14,0.24763715
4838,0.4,0.35509026
14866,0.03,0.24763715
13134,0.05,0.2626761
15850,0.02,0.24543369
3914,0.51,0.3030095
4356,0.45,0.35729653
11670,0.08,0.24995297
8947,0.15,0.24543369
12217,0.07,0.24543369
1501,1.31,1.15463
7511,0.2,0.24543369
13440,0.05,0.2470156
11030,0.09,0.24600944
16250,0.01,0.24543369
14888,0.03,0.24543369
4377,0.44,0.4074232
9415,0.13,0.24763715
10390,0.11,0.24543369
15053,0.02,0.24543369
4051,0.49,0.27459222
2916,0.7,0.5836395
5956,0.29,0.39180234
16189,0.01,0.24543369
1564,1.27,1.1261531
13127,0.05,0.24543369
7891,0.19,0.24543369
5273,0.35,0.325728
12531,0.06,0.2502277
2624,0.78,0.5821794
15361,0.02,0.24543369
3297,0.61,0.45155352
16054,0.02,0.24543369
9951,0.12,0.24543369
6432,0.26,0.2675436
605,2.56,2.093823
9266,0.14,0.24543369
16144,0.01,0.24543369
2563,0.8,0.7034586
970,1.8,1.7478403
443,3.12,1.1747887
10230,0.11,0.24763715
10044,0.11,0.24608004
3575,0.56,0.4229457
2328,0.89,0.4752748
6486,0.26,0.29444396
1280,1.48,1.2706795
562,2.68,2.1557443
6536,0.26,0.24543369
15909,0.02,0.24543369
4084,0.48,0.39676753
5551,0.32,0.27315816
1380,1.4,1.196245
8559,0.16,0.24543369
2469,0.84,0.73661864
2439,0.85,0.7742297
3379,0.59,0.46846038
10925,0.09,0.24763715
12662,0.06,0.24763715
13348,0.05,0.2653743
11693,0.08,0.24543369
3870,0.52,0.39530525
2811,0.73,0.6270128
109,7.13,4.953119
12766,0.06,0.24543369
6678,0.25,0.291202
7605,0.2,0.24806806
2139,0.96,0.4900467
12558,0.06,0.24763715
11281,0.08,0.24543369
15623,0.02,0.24543369
12108,0.07,0.24575695
11348,0.08,0.24543369
12567,0.06,0.24543369
4157,0.47,0.4411513
12205,0.07,0.24543369
991,1.76,1.0837686
3284,0.61,0.53260136
157,5.58,4.0141306
6579,0.26,0.29444396
2267,0.91,0.8390444
10673,0.1,0.24543369
12556,0.06,0.24763715
8756,0.15,0.25059932
2657,0.77,0.7347093
915,1.88,1.7304736
11469,0.08,0.24543369
6727,0.25,0.25386858
11096,0.09,0.24543369
9943,0.12,0.24543369
3228,0.62,0.65925884
6157,0.28,0.294094
9597,0.13,0.24763715
9967,0.12,0.24543369
11839,0.07,0.24543369
8300,0.17,0.24543369
10565,0.1,0.24600944
13889,0.04,0.24543369
3504,0.57,0.55615413
16186,0.01,0.24543369
2692,0.76,0.41766584
15937,0.02,0.24543369
2166,0.95,0.8525804
3041,0.66,0.76703995
603,2.56,1.9134618
12035,0.07,0.2470156
8522,0.16,0.24543369
5472,0.33,0.30014968
2631,0.78,0.7025659
5321,0.35,0.2759176
4810,0.4,0.31095156
6367,0.27,0.26489258
8978,0.15,0.26201722
9021,0.14,0.24763715
10858,0.09,0.24543369
625,2.47,1.5674933
7678,0.2,0.24543369
972,1.8,1.5489688
4301,0.45,0.3317589
5464,0.33,0.3039704
10294,0.11,0.24763715
11778,0.07,0.26693648
6051,0.29,0.2699641
4307,0.45,0.4074232
9823,0.12,0.24696094
1615,1.23,1.1912553
15815,0.02,0.24543369
3847,0.52,0.29238492
1361,1.41,0.5553649
10759,0.1,0.24543369
1013,1.75,1.2983537
11526,0.08,0.25275442
6975,0.23,0.2470156
5805,0.31,0.29784393
8759,0.15,0.24543369
4106,0.48,0.3873676
635,2.44,1.8892869
2915,0.7,0.40198144
2431,0.85,0.9011829
9201,0.14,0.24543369
606,2.54,1.7551682
11163,0.09,0.24543369
7386,0.21,0.25889444
15117,0.02,0.24600944
9666,0.12,0.24543369
3158,0.64,0.5629304
4331,0.45,0.35434455
8494,0.16,0.26272035
12930,0.05,0.24543369
16544,0.01,0.24543369
3928,0.51,0.39372396
16717,0.01,0.24543369
8262,0.17,0.24699157
15281,0.02,0.24543369
15803,0.02,0.24543369
11700,0.08,0.24543369
7969,0.19,0.2781863
4055,0.49,0.40126833
2485,0.83,0.71732026
10976,0.09,0.24543369
1045,1.71,1.4866538
3737,0.54,0.47777545
3763,0.53,0.4081391
5159,0.36,0.41651052
6614,0.25,0.24968457
7724,0.19,0.2501394
255,4.36,3.4447956
1970,1.05,0.65924025
14683,0.03,0.24543369
2659,0.77,0.56752336
8991,0.14,0.24543369
5377,0.34,0.35780728
15748,0.02,0.24543369
11450,0.08,0.24543369
8380,0.17,0.24666831
13532,0.04,0.24543369
13322,0.05,0.24543369
5597,0.32,0.35756326
9352,0.13,0.24543369
14708,0.03,0.24543369
1091,1.67,1.3957665
10350,0.11,0.28726125
12313,0.06,0.24600944
8237,0.17,0.24763715
6694,0.25,0.2665233
2073,1.0,0.43252748
13509,0.04,0.24543369
10593,0.1,0.24543369
9898,0.12,0.24600944
12206,0.07,0.24696094
15049,0.02,0.24543369
13473,0.05,0.2626761
12213,0.07,0.24763715
1769,1.15,1.0223523
2353,0.88,0.6777758
7187,0.22,0.24763715
10072,0.11,0.24543369
15345,0.02,0.24543369
7692,0.2,0.26614708
2147,0.96,0.7951858
7964,0.19,0.25314704
7801,0.19,0.24763715
2753,0.74,0.5908822
8842,0.15,0.24543369
1204,1.55,1.2884214
11080,0.09,0.24864581
3824,0.52,0.50125444
10775,0.1,0.24543369
14707,0.03,0.24575695
11428,0.08,0.24600944
4291,0.45,0.3656047
1044,1.71,1.2239103
7750,0.19,0.2588238
8995,0.14,0.24543369
14398,0.03,0.24543369
3936,0.51,0.43482718
7288,0.22,0.26694238
15376,0.02,0.24543369
14615,0.03,0.24543369
2939,0.69,0.5128635
1694,1.19,1.0939629
13365,0.05,0.24543369
6257,0.27,0.29444396
7937,0.19,0.24543369
9609,0.13,0.24893785
9008,0.14,0.24696094
12381,0.06,0.24543369
7959,0.19,0.24718723
1139,1.62,1.4518447
8939,0.15,0.24543369
16559,0.01,0.24543369
10052,0.11,0.24543369
846,2.02,1.6441996
7195,0.22,0.3019799
14800,0.03,0.24543369
2057,1.0,0.86028075
4410,0.44,0.2925294
11446,0.08,0.30636573
8156,0.18,0.29994288
7389,0.21,0.2532928
8633,0.16,0.24654084
9607,0.13,0.24543369
2849,0.72,0.74533117
15205,0.02,0.24543369
4440,0.44,0.3283667
14311,0.03,0.24543369
6207,0.28,0.25532973
14878,0.03,0.24543369
13820,0.04,0.24543369
5569,0.32,0.2789717
6102,0.28,0.29351825
10173,0.11,0.24543369
13101,0.05,0.24543369
16432,0.01,0.24543369
6169,0.28,0.26924026
15306,0.02,0.24543369
8812,0.15,0.2628035
12545,0.06,0.24600944
13411,0.05,0.24543369
4489,0.43,0.5046733
8284,0.17,0.24543369
15249,0.02,0.24600944
8707,0.15,0.24543369
11422,0.08,0.24543369
10586,0.1,0.24543369
10264,0.11,0.2470156
10193,0.11,0.24543369
7528,0.2,0.24827757
9261,0.14,0.24864581
13591,0.04,0.24608004
14306,0.03,0.24543369
1905,1.08,0.9408699
13377,0.05,0.24543369
9402,0.13,0.24543369
6416,0.27,0.27269942
3705,0.54,0.53395665
3667,0.55,0.41330934
1750,1.16,0.65339464
14084,0.04,0.24543369
1559,1.27,0.9917668
9049,0.14,0.24543369
3318,0.61,0.5232603
3129,0.64,0.4900589
15124,0.02,0.24763715
5621,0.32,0.29784393
3791,0.53,0.47903648
9497,0.13,0.24543369
15753,0.02,0.24543369
13681,0.04,0.24543369
10248,0.11,0.25300807
10936,0.09,0.24763715
238,4.53,3.5847597
7475,0.21,0.25952435
11701,0.08,0.24543369
2794,0.73,0.67410356
7927,0.19,0.24543369
12290,0.06,0.24827757
10291,0.11,0.24827757
5806,0.31,0.33958343
12130,0.07,0.24543369
12690,0.06,0.24543369
2222,0.93,0.5681542
12593,0.06,0.24543369
12712,0.06,0.24543369
10864,0.09,0.24763715
5493,0.33,0.35765356
15792,0.02,0.24543369
4952,0.39,0.2780136
4196,0.47,0.26809016
1497,1.31,1.0940998
15368,0.02,0.24543369
14209,0.03,0.2470156
108,7.14,5.1036325
4551,0.42,0.34741598
1203,1.55,1.3126755
419,3.24,2.063737
2591,0.79,0.61219114
15020,0.02,0.24543369
16465,0.01,0.24543369
13071,0.05,0.24543369
10246,0.11,0.24543369
7053,0.23,0.2548594
1371,1.41,1.2513335
8521,0.16,0.2624605
10805,0.1,0.24543369
13806,0.04,0.24543369
16633,0.01,0.24543369
2320,0.89,0.75096726
6980,0.23,0.24543369
3502,0.57,0.6113599
12611,0.06,0.24543369
9642,0.13,0.28654075
11911,0.07,0.24543369
12579,0.06,0.24543369
8304,0.17,0.24543369
12525,0.06,0.24543369
12795,0.06,0.24543369
4059,0.49,0.38832253
15594,0.02,0.24543369
15008,0.02,0.24543369
1664,1.21,0.85501033
15555,0.02,0.24543369
11024,0.09,0.2605593
12243,0.07,0.24543369
1158,1.6,1.3697788
9016,0.14,0.24543369
10947,0.09,0.24543369
4295,0.45,0.45534068
1548,1.27,1.1303846
13362,0.05,0.24543369
849,2.01,1.5824937
1612,1.24,1.2398674
12639,0.06,0.24543369
2839,0.72,0.42741
11797,0.07,0.24543369
3554,0.56,0.41330934
2397,0.87,0.7945415
12414,0.06,0.24543369
16013,0.02,0.24543369
10199,0.11,0.24543369
1274,1.49,1.3542728
12170,0.07,0.24763715
3563,0.56,0.41883844
5254,0.35,0.31291372
634,2.45,1.9683192
3456,0.58,0.43960273
760,2.16,1.8253081
14943,0.03,0.24543369
3565,0.56,0.43623406
12432,0.06,0.24543369
5858,0.3,0.30153075
13516,0.04,0.24543369
4530,0.43,0.3948813
15777,0.02,0.24543369
3331,0.6,0.44467524
5581,0.32,0.2588238
12937,0.05,0.24543369
10666,0.1,0.24543369
8139,0.18,0.24543369
7026,0.23,0.24920353
10056,0.11,0.24543369
10872,0.09,0.24763715
13728,0.04,0.24543369
14735,0.03,0.24827757
8185,0.18,0.24543369
1235,1.52,1.3176757
13245,0.05,0.24543369
15026,0.02,0.24543369
16016,0.02,0.24666831
2834,0.72,0.7969662
13643,0.04,0.24543369
1124,1.64,1.3078144
2611,0.78,0.55923265
12727,0.06,0.2624605
15178,0.02,0.24543369
12691,0.06,0.24543369
4705,0.41,0.3919575
9731,0.12,0.24748099
16355,0.01,0.30220807
10575,0.1,0.24543369
1817,1.12,0.8020034
9610,0.13,0.24543369
14182,0.03,0.24893785
15964,0.02,0.2614415
62,9.9,7.2521663
11770,0.07,0.24995297
7430,0.21,0.24920353
15581,0.02,0.24543369
886,1.94,1.2148015
1401,1.38,1.1435342
6159,0.28,0.31878245
569,2.66,2.184744
1408,1.37,1.5212172
9333,0.13,0.24543369
5429,0.34,0.30708852
15837,0.02,0.24543369
5703,0.31,0.3124847
9474,0.13,0.24543369
3157,0.64,0.60324913
13224,0.05,0.24666831
14140,0.04,0.2774449
11343,0.08,0.24543369
11269,0.08,0.24543369
13524,0.04,0.24543369
85,8.01,5.614064
13501,0.04,0.24543369
15981,0.02,0.24543369
16306,0.01,0.24543369
12701,0.06,0.24633268
12962,0.05,0.24763715
16602,0.01,0.24543369
1180,1.57,1.425406
1882,1.09,0.959361
16578,0.01,0.24543369
11737,0.08,0.24543369
10961,0.09,0.24543369
2525,0.81,0.6756438
1595,1.25,1.1116375
11981,0.07,0.24608004
9719,0.12,0.24543369
3592,0.56,0.5527647
2694,0.76,0.6082518
13926,0.04,0.24763715
9842,0.12,0.24665582
12929,0.05,0.24608004
3962,0.5,0.40163335
6554,0.26,0.24763715
15244,0.02,0.24543369
8325,0.17,0.24543369
8171,0.18,0.24543369
9376,0.13,0.24543369
3548,0.56,0.45300305
1296,1.47,1.4269133
12283,0.06,0.24600944
2878,0.71,0.5542578
15058,0.02,0.24543369
3848,0.52,0.49454555
2159,0.95,0.86659884
6813,0.24,0.27442524
11167,0.09,0.24543369
1271,1.49,1.0229511
15984,0.02,0.24543369
16522,0.01,0.24543369
10588,0.1,0.24543369
8003,0.18,0.24763715
8413,0.17,0.24543369
8384,0.17,0.24763715
11794,0.07,0.24543369
2307,0.9,0.8799498
6019,0.29,0.3211207
13983,0.04,0.24543369
15031,0.02,0.24543369
9767,0.12,0.24687612
13878,0.04,0.24763715
2189,0.94,0.7154943
7233,0.22,0.36495566
9529,0.13,0.24543369
13637,0.04,0.24543369
811,2.07,1.6870339
11164,0.09,0.24543369
14795,0.03,0.24543369
10539,0.1,0.24543369
3064,0.66,0.64698464
3154,0.64,0.30922124
8711,0.15,0.24575695
9659,0.12,0.25824806
1418,1.36,1.0459226
16268,0.01,0.24543369
12928,0.05,0.26412287
4721,0.41,0.3384078
15528,0.02,0.24543369
3443,0.58,0.5750932
8441,0.17,0.24543369
8255,0.17,0.24654084
7329,0.21,0.25714982
2343,0.89,0.7518866
7296,0.21,0.25948268
857,1.99,1.1134709
6089,0.28,0.25651795
11059,0.09,0.24696094
1665,1.21,1.048615
10725,0.1,0.24600944
12174,0.07,0.24543369
3878,0.51,0.32498604
2701,0.76,0.6125463
7347,0.21,0.25139564
2570,0.8,0.47370222
324,3.83,2.3298998
7895,0.19,0.24763715
3240,0.62,0.41746396
11100,0.09,0.24543369
14469,0.03,0.24543369
8341,0.17,0.24763715
1212,1.54,1.2768912
9447,0.13,0.24798498
6808,0.24,0.26491368
4349,0.45,0.3590896
8216,0.17,0.24543369
15637,0.02,0.24543369
10636,0.1,0.24763715
7141,0.22,0.2532928
6218,0.28,0.24858811
8885,0.15,0.24543369
9663,0.12,0.24763715
11728,0.08,0.24600944
2488,0.83,0.6692894
14621,0.03,0.24543369
4523,0.43,0.39076614
2203,0.94,0.9462181
11912,0.07,0.24543369
10927,0.09,0.24543369
12829,0.06,0.2563223
16688,0.01,0.24543369
10373,0.11,0.24763715
8061,0.18,0.24543369
1714,1.18,1.0313299
6037,0.29,0.28899854
11774,0.07,0.24543369
615,2.52,2.017148
15836,0.02,0.24543369
7820,0.19,0.2588238
12483,0.06,0.24543369
9641,0.13,0.25104034
15456,0.02,0.24543369
2684,0.76,0.52876127
3328,0.6,0.5555316
943,1.85,1.587
8702,0.15,0.24763715
10409,0.11,0.24543369
1888,1.09,0.9777265
9686,0.12,0.24543369
522,2.81,2.3163486
14238,0.03,0.24543369
2131,0.97,0.87240267
2733,0.75,0.74944
11913,0.07,0.24543369
9908,0.12,0.24763715
683,2.32,1.3970149
9776,0.12,0.24543369
10507,0.1,0.24763715
1877,1.09,0.97718304
12899,0.05,0.24543369
7406,0.21,0.24763715
14261,0.03,0.24543369
14995,0.02,0.24543369
12103,0.07,0.24543369
3712,0.54,0.5215575
1037,1.72,1.5002468
6079,0.29,0.27347982
11417,0.08,0.24543369
9745,0.12,0.24543369
12219,0.07,0.24543369
4593,0.42,0.3166446
14397,0.03,0.24543369
4029,0.49,0.36492532
10499,0.1,0.24543369
8155,0.18,0.24654084
5984,0.29,0.31291372
2111,0.98,0.98667103
14835,0.03,0.24763715
12323,0.06,0.25300807
11034,0.09,0.24543369
6417,0.27,0.2665233
3720,0.54,0.41330934
8363,0.17,0.24600944
15297,0.02,0.24543369
10579,0.1,0.24945846
14231,0.03,0.24543369
2886,0.71,0.33826262
4354,0.45,0.41323638
1911,1.08,0.91158867
16141,0.01,0.24543369
9662,0.12,0.24666831
3233,0.62,0.53927606
892,1.93,1.5285877
14942,0.03,0.24543369
2515,0.82,0.7853856
13079,0.05,0.24543369
13042,0.05,0.24543369
14576,0.03,0.24543369
12726,0.06,0.24696094
14772,0.03,0.24543369
14088,0.04,0.24600944
13895,0.04,0.2614219
9615,0.13,0.24763715
11906,0.07,0.24543369
9830,0.12,0.24543369
5908,0.3,0.4878154
5456,0.33,0.3131973
10900,0.09,0.25507015
13664,0.04,0.24543369
12666,0.06,0.24763715
8349,0.17,0.24543369
1202,1.55,1.3346143
10828,0.09,0.24543369
1712,1.18,0.7152141
13297,0.05,0.24543369
4373,0.45,0.37212062
9584,0.13,0.24543369
10667,0.1,0.24543369
8813,0.15,0.24543369
49,11.35,9.540372
8123,0.18,0.31678626
11138,0.09,0.2470156
583,2.62,2.154893
5374,0.34,0.36688477
3346,0.6,0.55233324
6822,0.24,0.27442524
14291,0.03,0.24543369
13607,0.04,0.24543369
626,2.47,2.0668797
8975,0.15,0.24543369
1424,1.36,0.60352695
7416,0.21,0.25028855
4648,0.42,0.41011554
4146,0.47,0.43004066
5751,0.31,0.2801093
427,3.2,2.579355
6638,0.25,0.2532074
10106,0.11,0.28478146
8463,0.16,0.24543369
10017,0.11,0.24543369
13992,0.04,0.27493685
394,3.39,2.9482753
5964,0.29,0.26641977
4260,0.46,0.34799415
3483,0.58,0.555316
6016,0.29,0.29501975
3092,0.65,0.5687725
4546,0.42,0.3167412
16303,0.01,0.24543369
4342,0.45,0.41681275
3505,0.57,0.6352098
11353,0.08,0.25224105
2700,0.76,0.6267046
9525,0.13,0.24543369
15072,0.02,0.24763715
11379,0.08,0.24543369
6511,0.26,0.29444396
7586,0.2,0.26784015
14894,0.03,0.24543369
15222,0.02,0.24543369
10325,0.11,0.24608004
6624,0.25,0.24600944
10771,0.1,0.24543369
2402,0.87,0.72797465
16176,0.01,0.24543369
10377,0.11,0.24543369
11303,0.08,0.24763715
5799,0.31,0.29907858
1592,1.25,0.8006351
2202,0.94,0.7103028
14808,0.03,0.24543369
16702,0.01,0.24543369
6146,0.28,0.29534417
9494,0.13,0.2549668
7995,0.18,0.24995297
15769,0.02,0.24608004
13582,0.04,0.24543369
3117,0.65,0.55842316
1636,1.22,1.1562715
5928,0.3,0.35645896
10151,0.11,0.2470156
8422,0.17,0.24543369
9413,0.13,0.24543369
12389,0.06,0.24763715
8239,0.17,0.24543369
14464,0.03,0.24543369
14965,0.03,0.24543369
10534,0.1,0.24600944
11522,0.08,0.24666831
5436,0.33,0.28681704
6179,0.28,0.31255093
12967,0.05,0.24543369
10249,0.11,0.24763715
8166,0.18,0.24543369
15442,0.02,0.24543369
5596,0.32,0.30104154
11337,0.08,0.24728417
10482,0.1,0.24543369
15966,0.02,0.24543369
11274,0.08,0.24543369
7161,0.22,0.26599753
4893,0.39,0.37356117
6709,0.25,0.24843326
12118,0.07,0.24600944
2548,0.81,0.6440239
9730,0.12,0.24543369
14783,0.03,0.24543369
15721,0.02,0.24543369
4899,0.39,0.34476787
6065,0.29,0.3140451
15503,0.02,0.24543369
